accuracy_pct,99.81975933532803
avg_dollar_error,0.4776872442376597
bias,0,-0.006601837726530591
bias,1,-0.005797414081628429
bias,2,-0.0052702088115089895
bias,3,-0.004915869806072134
bias,4,-0.004612851327548466
bias,5,-0.0043902398319952355
bias,6,-0.004215102398485917
bias,7,-0.0040253179250129365
bias,8,-0.0038435291811058083
bias,9,-0.0037291809223548426
w,0,203,0.00048241716007045105
w,0,204,0.0004414949870311157
w,0,205,0.00035246147080479
w,0,206,0.0004066943893368579
w,0,207,0.00023660239544010225
w,0,208,-0.0012439969145889287
w,0,209,-0.0024735159120764117
w,0,210,0.0005063675837142281
w,0,211,0.0004972301590997719
w,0,212,0.0004234089123018146
w,0,213,0.0005026107494462356
w,0,214,0.00016438032666288906
w,0,215,-0.0016211437983036962
w,0,216,-0.0028056463830920656
w,0,217,0.00046748054018273127
w,0,218,0.0004841253051930341
w,0,219,0.000342338214143612
w,0,220,0.0003866857804199385
w,0,221,0.0002925969013593354
w,0,222,-0.0010941295329877185
w,0,223,-0.0030751820733119764
w,0,224,0.0004223775775520037
w,0,225,0.0004601494170200761
w,0,226,0.000336237344063568
w,0,227,0.0003653227696030312
w,0,228,0.00008936146271659418
w,0,229,-0.0008624540106314558
w,0,230,-0.00329608071277093
w,0,231,0.0003840856370671314
w,0,232,0.00043838307415641217
w,0,233,0.0002568601574363435
w,0,234,0.0002556900578970749
w,0,235,-0.00005503743862416808
w,0,236,-0.0004052520223480773
w,0,237,-0.0034688742484821926
w,0,238,0.0002526942682704538
w,0,239,0.00037810440630838536
w,0,240,0.0002701872678260455
w,0,241,0.00022710986266261915
w,0,242,0.00028090918234817186
w,0,243,0.00023181564828454488
w,0,244,-0.004212363399859156
w,0,245,0.00019740940440518377
w,0,246,0.00026558511987507426
w,0,247,0.00016079671305568445
w,0,248,0.0001494087179721542
w,0,249,-0.00009278399548180241
w,0,250,-0.0002529758658356321
w,0,251,-0.0036143266858281045
w,0,252,0.0001749574838673355
w,0,253,0.00021473700067903121
w,0,254,0.00009547402278281981
w,0,255,0.00012560235542669995
w,0,256,0.00009106404709220518
w,0,257,-0.0008857029953475944
w,0,258,-0.0033176067298215845
w,0,259,0.00006031194290209884
w,0,260,0.00017059949306873128
w,0,261,0.0000869310830551853
w,0,262,0.0001171059096323566
w,0,263,0.00008296366129342188
w,0,264,-0.0008866720862078303
w,0,265,-0.00405473968579469
w,0,266,-0.00003823329473730868
w,0,267,0.00004959646842886455
w,0,268,-0.000016137977099596076
w,0,269,-0.00004007088086372915
w,0,270,-0.000042099303605276246
w,0,271,-0.00006783494994471602
w,0,272,-0.0038202494253719442
w,0,273,-0.00015877044419105246
w,0,274,-0.00007315525279745886
w,0,275,-0.00022120311711445082
w,0,276,-0.00019910478467085344
w,0,277,-0.000004920075944762642
w,0,278,-0.0007734508026869766
w,0,279,-0.003797369782694703
w,0,280,-0.0001914777406029838
w,0,281,-0.00019692698075562826
w,0,282,-0.00024959955647513613
w,0,283,-0.0002613263455264291
w,0,284,-0.00004382051628139655
w,0,285,-0.0002604513358629951
w,0,286,-0.00284572528344739
w,0,287,-0.0001675871015604235
w,0,288,-0.00019221914087967886
w,0,289,-0.00024411325792919608
w,0,290,-0.00021232911216223502
w,0,291,0.0001593117147030747
w,0,292,-0.0009213027783973319
w,0,293,-0.002645192924599011
w,0,294,-0.00019348827336830357
w,0,295,-0.00019791976799360408
w,0,296,-0.00028082391528361613
w,0,297,-0.00025268327392852637
w,0,298,0.00035663231502118515
w,0,299,-0.0008670795862487674
w,0,300,-0.0028563661827452516
w,0,301,-0.000209712833721197
w,0,302,-0.0002109843815029168
w,0,303,-0.000268550434133992
w,0,304,-0.0002481391911636524
w,0,305,0.0004263826555560389
w,0,306,-0.0007492767077597713
w,0,307,-0.0028894265122550553
w,0,308,-0.00015324995873462887
w,0,309,-0.0002325403836043547
w,0,310,-0.0002569141100740154
w,0,311,-0.00020679658130328302
w,0,312,0.00015597257032702448
w,0,313,-0.0012002181137923274
w,0,314,-0.0020739254269418186
w,0,315,-0.0001130549655616006
w,0,316,-0.00020203144890179172
w,0,317,-0.00017308801240959736
w,0,318,-0.00014835075069549868
w,0,319,0.00047487608215308257
w,0,320,-0.0008120616782789325
w,0,321,-0.001972607883177439
w,0,322,-0.0001381152484807443
w,0,323,-0.00014875498716494808
w,0,324,-0.00021966085071341407
w,0,325,-0.00018749757928303843
w,0,326,0.00034642904588115926
w,0,327,-0.0009263103975427218
w,0,328,-0.002791361998264712
w,0,329,-0.00017033575448600132
w,0,330,-0.00017012969589054163
w,0,331,-0.00022321007313990215
