accuracy_pct,100
avg_dollar_error,0.0000000000000056843418860808026
bias,0,-0.00044269632736477474
bias,1,-0.00047928891198333767
bias,2,-0.0005430225072967912
bias,3,-0.0004638818999945053
bias,4,-0.00026517785217943906
bias,5,0.000015682550363024367
bias,6,-0.0000004982782985689738
bias,7,0.00016251725978704365
bias,8,0.00014914007018507384
bias,9,0.00018463062113613395
w,0,707,0.0028259873627504892
w,0,708,0.0028585927039913596
w,0,709,0.002797265545672065
w,0,710,0.0029023182588360148
w,0,711,-0.0003363614590518877
w,0,712,-0.00004928967433689747
w,0,713,0.0003429218562769186
w,0,714,0.0029914461899948988
w,0,715,0.0028103861245042075
w,0,716,0.002827521569939701
w,0,717,0.0030013503941048137
w,0,718,-0.0005418071689241737
w,0,719,-0.0008907862276755662
w,0,720,0.0021414869269551708
w,0,721,0.003025924376201928
w,0,722,0.0029862156660988436
w,0,723,0.0028970052081789895
w,0,724,0.0030936213169166257
w,0,725,-0.0006083590474505369
w,0,726,-0.0015841835328100446
w,0,727,0.0008302334313147592
w,0,728,0.0030629908675846554
w,0,729,0.0030165990180443525
w,0,730,0.0030000652071445776
w,0,731,0.0030955158485763256
w,0,732,0.00012014650063578666
w,0,733,0.0002271067505900708
w,0,734,0.00035397396073365354
w,0,735,0.0032388983656362626
w,0,736,0.0030877891963653785
w,0,737,0.0031457759488889856
w,0,738,0.003184361464134612
w,0,739,-0.0004122006338347278
w,0,740,0.0006013858413447161
w,0,741,0.0007742497086399265
w,0,742,0.003199004603854542
w,0,743,0.003236822538702329
w,0,744,0.0031678084467502573
w,0,745,0.0033035251182707065
w,0,746,-0.00021715389491303543
w,0,747,-0.0003669461359968127
w,0,748,0.0001533784973171686
w,0,749,0.0031378745626377516
w,0,750,0.003209997026953127
w,0,751,0.003153905383205404
w,0,752,0.003203947968189077
w,0,753,-0.0018488528281898678
w,0,754,0.0008681708721357889
w,0,755,0.0002965880827870382
w,0,756,0.0031938823989301757
w,0,757,0.003132721857226222
w,0,758,0.0030602649830060538
w,0,759,0.003261294746858732
w,0,760,0.0011975352310079675
w,0,761,-0.00009897353659215536
w,0,762,0.0010313027892741187
w,0,763,0.003403337495139007
w,0,764,0.003203980609969487
w,0,765,0.0033363490967536283
w,0,766,0.003307484705804519
w,0,767,-0.0016971523505523718
w,0,768,0.0018894607431432385
w,0,769,0.0013780447684163994
w,0,770,0.0034400047577395274
w,0,771,0.0033786782436395855
w,0,772,0.0033171468192016783
w,0,773,0.003540157085643974
w,0,774,0.00028421636559169006
w,0,775,-0.0004941981563765737
w,0,776,0.0005288635411113715
w,0,777,0.0035322675594803197
w,0,778,0.0034755449213336896
w,0,779,0.003440779164266425
w,0,780,0.0035173227075023226
w,0,781,-0.001050565028166294
w,0,782,0.0005500593977607104
w,0,783,-0.00031109348181006865
w,0,784,0.0034975590295224924
w,0,785,0.0035786466711857424
w,0,786,0.0034914270699534108
w,0,787,0.0036136513240220235
w,0,788,-0.0006423084561296792
w,0,789,-0.0007208113259896705
w,0,790,-0.00002063950835526468
w,0,791,0.003529818478750218
w,0,792,0.0035081384157187845
w,0,793,0.0035323236373347873
w,0,794,0.003631771237596061
w,0,795,0.0017257035929933242
w,0,796,-0.00041448664942896014
w,0,797,-0.0017068147218139045
w,0,798,0.00343640746283929
w,0,799,0.0035560216409064294
w,0,800,0.003470011937252915
w,0,801,0.003581777325187112
w,0,802,-0.0013479485174642217
w,0,803,0.00021315055511115914
w,0,804,-0.0010601743212823778
w,0,805,0.0037244994727025733
w,0,806,0.00348059370421596
w,0,807,0.003555783569023655
w,0,808,0.0036435417579392063
w,0,809,0.00022935012426971753
w,0,810,-0.00010981871178516684
w,0,811,0.002170509668441431
w,0,812,0.0038284417822261173
w,0,813,0.0037223132893061867
w,0,814,0.0037470370407933443
w,0,815,0.0038699463068767553
w,0,816,-0.001399413030945
w,0,817,-0.00027662548984143815
w,0,818,0.0005656779873120503
w,0,819,0.0038161940765525587
w,0,820,0.0038325594417915384
w,0,821,0.0037782444788122633
w,0,822,0.003924372204681863
w,0,823,-0.002453361782729749
w,0,824,-0.000963546598184092
w,0,825,0.0011006558205267486
